observation_date,MABMM301JPM189S
1980-01-01,295200000000000
1980-02-01,297000000000000
1980-03-01,298600000000000
1980-04-01,300700000000000
1980-05-01,303100000000000
1980-06-01,304200000000000
1980-07-01,305500000000000
1980-08-01,307100000000000
1980-09-01,308600000000000
1980-10-01,310300000000000
1980-11-01,312800000000000
1980-12-01,314900000000000
1981-01-01,317000000000000
1981-02-01,319400000000000
1981-03-01,321800000000000
1981-04-01,325100000000000
1981-05-01,327100000000000
1981-06-01,330600000000000
1981-07-01,333200000000000
1981-08-01,336100000000000
1981-09-01,339100000000000
1981-10-01,342500000000000
1981-11-01,344900000000000
1981-12-01,347400000000000
1982-01-01,350300000000000
1982-02-01,352700000000000
1982-03-01,354800000000000
1982-04-01,356400000000000
1982-05-01,358700000000000
1982-06-01,360800000000000
1982-07-01,364200000000000
1982-08-01,366700000000000
1982-09-01,368600000000000
1982-10-01,370900000000000
1982-11-01,373100000000000
1982-12-01,374800000000000
1983-01-01,376800000000000
1983-02-01,378800000000000
1983-03-01,380800000000000
1983-04-01,383600000000000
1983-05-01,386000000000000
1983-06-01,388600000000000
1983-07-01,390400000000000
1983-08-01,392600000000000
1983-09-01,395200000000000
1983-10-01,397600000000000
1983-11-01,399200000000000
1983-12-01,403000000000000
1984-01-01,405300000000000
1984-02-01,408000000000000
1984-03-01,411500000000000
1984-04-01,412500000000000
1984-05-01,415400000000000
1984-06-01,418200000000000
1984-07-01,420800000000000
1984-08-01,423500000000000
1984-09-01,426700000000000
1984-10-01,428800000000000
1984-11-01,431600000000000
1984-12-01,433900000000000
1985-01-01,437300000000000
1985-02-01,440300000000000
1985-03-01,443600000000000
1985-04-01,447300000000000
1985-05-01,450200000000000
1985-06-01,452900000000000
1985-07-01,455900000000000
1985-08-01,458800000000000
1985-09-01,462100000000000
1985-10-01,466000000000000
1985-11-01,470000000000000
1985-12-01,474000000000000
1986-01-01,476400000000000
1986-02-01,479500000000000
1986-03-01,482800000000000
1986-04-01,485300000000000
1986-05-01,488200000000000
1986-06-01,492200000000000
1986-07-01,495800000000000
1986-08-01,499100000000000
1986-09-01,502900000000000
1986-10-01,505700000000000
1986-11-01,508700000000000
1986-12-01,513900000000000
1987-01-01,517800000000000
1987-02-01,521600000000000
1987-03-01,527100000000000
1987-04-01,532800000000000
1987-05-01,537900000000000
1987-06-01,542600000000000
1987-07-01,547600000000000
1987-08-01,553100000000000
1987-09-01,558700000000000
1987-10-01,563400000000000
1987-11-01,570000000000000
1987-12-01,573500000000000
1988-01-01,578800000000000
1988-02-01,584900000000000
1988-03-01,589200000000000
1988-04-01,593700000000000
1988-05-01,599900000000000
1988-06-01,604400000000000
1988-07-01,609100000000000
1988-08-01,614400000000000
1988-09-01,618900000000000
1988-10-01,624400000000000
1988-11-01,628900000000000
1988-12-01,633800000000000
1989-01-01,635500000000000
1989-02-01,645100000000000
1989-03-01,650200000000000
1989-04-01,653800000000000
1989-05-01,657100000000000
1989-06-01,662700000000000
1989-07-01,668500000000000
1989-08-01,673900000000000
1989-09-01,678500000000000
1989-10-01,683600000000000
1989-11-01,690300000000000
1989-12-01,701600000000000
1990-01-01,708700000000000
1990-02-01,722300000000000
1990-03-01,727000000000000
1990-04-01,739800000000000
1990-05-01,743500000000000
1990-06-01,745600000000000
1990-07-01,749800000000000
1990-08-01,753800000000000
1990-09-01,758600000000000
1990-10-01,762200000000000
1990-11-01,758200000000000
1990-12-01,760800000000000
1991-01-01,762400000000000
1991-02-01,764200000000000
1991-03-01,765600000000000
1991-04-01,768000000000000
1991-05-01,769800000000000
1991-06-01,771500000000000
1991-07-01,774300000000000
1991-08-01,774200000000000
1991-09-01,776300000000000
1991-10-01,778000000000000
1991-11-01,777700000000000
1991-12-01,777700000000000
1992-01-01,777800000000000
1992-02-01,776800000000000
1992-03-01,779100000000000
1992-04-01,777700000000000
1992-05-01,775700000000000
1992-06-01,776600000000000
1992-07-01,775100000000000
1992-08-01,775400000000000
1992-09-01,774100000000000
1992-10-01,774700000000000
1992-11-01,775200000000000
1992-12-01,776800000000000
1993-01-01,777300000000000
1993-02-01,779000000000000
1993-03-01,777700000000000
1993-04-01,780800000000000
1993-05-01,784100000000000
1993-06-01,785800000000000
1993-07-01,785700000000000
1993-08-01,787400000000000
1993-09-01,787400000000000
1993-10-01,788800000000000
1993-11-01,788100000000000
1993-12-01,789000000000000
1994-01-01,789900000000000
1994-02-01,791000000000000
1994-03-01,793000000000000
1994-04-01,796700000000000
1994-05-01,797400000000000
1994-06-01,797900000000000
1994-07-01,801900000000000
1994-08-01,803300000000000
1994-09-01,806600000000000
1994-10-01,808100000000000
1994-11-01,809200000000000
1994-12-01,811500000000000
1995-01-01,813900000000000
1995-02-01,817600000000000
1995-03-01,819400000000000
1995-04-01,820400000000000
1995-05-01,821600000000000
1995-06-01,823000000000000
1995-07-01,823700000000000
1995-08-01,825900000000000
1995-09-01,828900000000000
1995-10-01,829900000000000
1995-11-01,835100000000000
1995-12-01,837200000000000
1996-01-01,838800000000000
1996-02-01,840300000000000
1996-03-01,844200000000000
1996-04-01,844500000000000
1996-05-01,848000000000000
1996-06-01,851800000000000
1996-07-01,853500000000000
1996-08-01,855300000000000
1996-09-01,857200000000000
1996-10-01,860500000000000
1996-11-01,861500000000000
1996-12-01,861900000000000
1997-01-01,863600000000000
1997-02-01,864200000000000
1997-03-01,866900000000000
1997-04-01,872100000000000
1997-05-01,873500000000000
1997-06-01,876800000000000
1997-07-01,879800000000000
1997-08-01,882700000000000
1997-09-01,884400000000000
1997-10-01,887000000000000
1997-11-01,889200000000000
1997-12-01,894700000000000
1998-01-01,899800000000000
1998-02-01,904200000000000
1998-03-01,905400000000000
1998-04-01,907500000000000
1998-05-01,911300000000000
1998-06-01,912000000000000
1998-07-01,916500000000000
1998-08-01,920600000000000
1998-09-01,923800000000000
1998-10-01,925400000000000
1998-11-01,931200000000000
1998-12-01,934300000000000
1999-01-01,936600000000000
1999-02-01,938800000000000
1999-03-01,942700000000000
1999-04-01,943800000000000
1999-05-01,947200000000000
1999-06-01,950800000000000
1999-07-01,952500000000000
1999-08-01,953600000000000
1999-09-01,953800000000000
1999-10-01,956900000000000
1999-11-01,957700000000000
1999-12-01,960900000000000
2000-01-01,961200000000000
2000-02-01,963000000000000
2000-03-01,963800000000000
2000-04-01,966100000000000
2000-05-01,966300000000000
2000-06-01,967300000000000
2000-07-01,967500000000000
2000-08-01,969200000000000
2000-09-01,971400000000000
2000-10-01,973400000000000
2000-11-01,973800000000000
2000-12-01,973300000000000
2001-01-01,975000000000000
2001-02-01,976800000000000
2001-03-01,977600000000000
2001-04-01,979300000000000
2001-05-01,981200000000000
2001-06-01,983100000000000
2001-07-01,984600000000000
2001-08-01,985800000000000
2001-09-01,987900000000000
2001-10-01,988900000000000
2001-11-01,990600000000000
2001-12-01,992600000000000
2002-01-01,995200000000000
2002-02-01,996500000000000
2002-03-01,998500000000000
2002-04-01,999900000000000
2002-05-01,1001300000000000
2002-06-01,1002100000000000
2002-07-01,1003500000000000
2002-08-01,1004800000000000
2002-09-01,1005800000000000
2002-10-01,1007100000000000
2002-11-01,1007900000000000
2002-12-01,1006700000000000
2003-01-01,1007300000000000
2003-02-01,1008000000000000
2003-03-01,1008000000000000
2003-04-01,1008500000000000
2003-05-01,1010600000000000
2003-06-01,1012300000000000
2003-07-01,1013500000000000
2003-08-01,1016300000000000
2003-09-01,1014800000000000
2003-10-01,1015300000000000
2003-11-01,1015700000000000
2003-12-01,1016200000000000
2004-01-01,1017500000000000
2004-02-01,1019300000000000
2004-03-01,1020200000000000
2004-04-01,1020500000000000
2004-05-01,1023200000000000
2004-06-01,1023100000000000
2004-07-01,1025100000000000
2004-08-01,1027600000000000
2004-09-01,1026000000000000
2004-10-01,1026200000000000
2004-11-01,1026200000000000
2004-12-01,1026300000000000
2005-01-01,1026700000000000
2005-02-01,1026800000000000
2005-03-01,1028800000000000
2005-04-01,1026600000000000
2005-05-01,1026600000000000
2005-06-01,1026300000000000
2005-07-01,1028300000000000
2005-08-01,1029900000000000
2005-09-01,1030900000000000
2005-10-01,1030400000000000
2005-11-01,1030900000000000
2005-12-01,1030000000000000
2006-01-01,1029000000000000
2006-02-01,1028000000000000
2006-03-01,1027700000000000
2006-04-01,1027700000000000
2006-05-01,1025700000000000
2006-06-01,1024000000000000
2006-07-01,1021900000000000
2006-08-01,1022500000000000
2006-09-01,1024000000000000
2006-10-01,1023400000000000
2006-11-01,1024200000000000
2006-12-01,1024500000000000
2007-01-01,1024800000000000
2007-02-01,1024600000000000
2007-03-01,1025300000000000
2007-04-01,1025900000000000
2007-05-01,1026100000000000
2007-06-01,1026900000000000
2007-07-01,1026800000000000
2007-08-01,1025400000000000
2007-09-01,1026500000000000
2007-10-01,1029300000000000
2007-11-01,1030500000000000
2007-12-01,1031800000000000
2008-01-01,1032500000000000
2008-02-01,1033300000000000
2008-03-01,1033200000000000
2008-04-01,1031000000000000
2008-05-01,1032900000000000
2008-06-01,1035500000000000
2008-07-01,1034600000000000
2008-08-01,1035700000000000
2008-09-01,1036000000000000
2008-10-01,1034800000000000
2008-11-01,1037100000000000
2008-12-01,1039700000000000
2009-01-01,1042339200000000
2009-02-01,1045579500000000
2009-03-01,1046817700000000
2009-04-01,1048397600000000
2009-05-01,1050983800000000
2009-06-01,1052317800000000
2009-07-01,1054316200000000
2009-08-01,1056549100000000
2009-09-01,1057755900000000
2009-10-01,1059570500000000
2009-11-01,1061717100000000
2009-12-01,1062965000000000
2010-01-01,1065059400000000
2010-02-01,1066598900000000
2010-03-01,1067353700000000
2010-04-01,1070712600000000
2010-05-01,1075227500000000
2010-06-01,1074862500000000
2010-07-01,1076113700000000
2010-08-01,1078686600000000
2010-09-01,1080399400000000
2010-10-01,1082156400000000
2010-11-01,1082658300000000
2010-12-01,1082176600000000
2011-01-01,1084301600000000
2011-02-01,1086263800000000
2011-03-01,1088730500000000
2011-04-01,1093198300000000
2011-05-01,1098243800000000
2011-06-01,1099014800000000
2011-07-01,1101691700000000
2011-08-01,1102552400000000
2011-09-01,1104900600000000
2011-10-01,1107328100000000
2011-11-01,1109444200000000
2011-12-01,1110285100000000
2012-01-01,1112318100000000
2012-02-01,1113829000000000
2012-03-01,1116736400000000
2012-04-01,1118347500000000
2012-05-01,1118999700000000
2012-06-01,1120416700000000
2012-07-01,1123326800000000
2012-08-01,1125722700000000
2012-09-01,1127955700000000
2012-10-01,1129093700000000
2012-11-01,1129544100000000
2012-12-01,1134174100000000
2013-01-01,1137142800000000
2013-02-01,1140771400000000
2013-03-01,1144727800000000
2013-04-01,1147298900000000
2013-05-01,1150606900000000
2013-06-01,1154826700000000
2013-07-01,1157380000000000
2013-08-01,1160147000000000
2013-09-01,1163230400000000
2013-10-01,1166420000000000
2013-11-01,1168341400000000
2013-12-01,1172243000000000
2014-01-01,1176078500000000
2014-02-01,1176867900000000
2014-03-01,1177672100000000
2014-04-01,1179619800000000
2014-05-01,1180908400000000
2014-06-01,1183626000000000
2014-07-01,1185930500000000
2014-08-01,1188757600000000
2014-09-01,1192523100000000
2014-10-01,1196542800000000
2014-11-01,1201648000000000
2014-12-01,1205799500000000
2015-01-01,1208370600000000
2015-02-01,1210815200000000
2015-03-01,1213580600000000
2015-04-01,1215585400000000
2015-05-01,1219554500000000
2015-06-01,1220992800000000
2015-07-01,1224011000000000
2015-08-01,1228263300000000
2015-09-01,1228857700000000
2015-10-01,1231067100000000
2015-11-01,1233075500000000
2015-12-01,1235724600000000
2016-01-01,1238730900000000
2016-02-01,1241311600000000
2016-03-01,1244559700000000
2016-04-01,1248940400000000
2016-05-01,1252686100000000
2016-06-01,1256114800000000
2016-07-01,1259229000000000
2016-08-01,1262028200000000
2016-09-01,1264994900000000
2016-10-01,1268454400000000
2016-11-01,1272941200000000
2016-12-01,1277320300000000
2017-01-01,1281370400000000
2017-02-01,1285573600000000
2017-03-01,1289065000000000
2017-04-01,1290826800000000
2017-05-01,1292582300000000
2017-06-01,1297730400000000
2017-07-01,1301335100000000
2017-08-01,1304257800000000
2017-09-01,1307707300000000
2017-10-01,1311528000000000
2017-11-01,1315884900000000
2017-12-01,1316920100000000
2018-01-01,1319456200000000
2018-02-01,1321249000000000
2018-03-01,1323528200000000
2018-04-01,1325981300000000
2018-05-01,1327112500000000
2018-06-01,1331741700000000
2018-07-01,1334094300000000
2018-08-01,1336346200000000
2018-09-01,1339190800000000
2018-10-01,1342077700000000
2018-11-01,1343295900000000
2018-12-01,1345464800000000
2019-01-01,1347526500000000
2019-02-01,1349147700000000
2019-03-01,1351287400000000
2019-04-01,1352915900000000
2019-05-01,1355400900000000
2019-06-01,1356553500000000
2019-07-01,1358937300000000
2019-08-01,1361345800000000
2019-09-01,1364364100000000
2019-10-01,1367749300000000
2019-11-01,1372165300000000
2019-12-01,1375769100000000
2020-01-01,1378481200000000
2020-02-01,1381560300000000
