observation_date,MYAGM2JPM189S
1955-01-01,3564500000000
1955-02-01,3595400000000
1955-03-01,3614400000000
1955-04-01,3664300000000
1955-05-01,3705400000000
1955-06-01,3747500000000
1955-07-01,3805000000000
1955-08-01,3883400000000
1955-09-01,3901700000000
1955-10-01,3973400000000
1955-11-01,4026900000000
1955-12-01,4097900000000
1956-01-01,4141100000000
1956-02-01,4212600000000
1956-03-01,4275300000000
1956-04-01,4328900000000
1956-05-01,4408600000000
1956-06-01,4512500000000
1956-07-01,4580700000000
1956-08-01,4663000000000
1956-09-01,4762800000000
1956-10-01,4819200000000
1956-11-01,4911700000000
1956-12-01,5004500000000
1957-01-01,5098900000000
1957-02-01,5155900000000
1957-03-01,5238900000000
1957-04-01,5315900000000
1957-05-01,5386100000000
1957-06-01,5425600000000
1957-07-01,5478900000000
1957-08-01,5531300000000
1957-09-01,5560900000000
1957-10-01,5649600000000
1957-11-01,5704200000000
1957-12-01,5758300000000
1958-01-01,5830700000000
1958-02-01,5897500000000
1958-03-01,5962300000000
1958-04-01,6068000000000
1958-05-01,6115600000000
1958-06-01,6221100000000
1958-07-01,6341200000000
1958-08-01,6441600000000
1958-09-01,6550000000000
1958-10-01,6652500000000
1958-11-01,6788100000000
1958-12-01,6855300000000
1959-01-01,6878100000000
1959-02-01,7053700000000
1959-03-01,7203300000000
1959-04-01,7285000000000
1959-05-01,7412900000000
1959-06-01,7516000000000
1959-07-01,7626700000000
1959-08-01,7643600000000
1959-09-01,7865500000000
1959-10-01,7993700000000
1959-11-01,8119700000000
1959-12-01,8246200000000
1960-01-01,8377400000000
1960-02-01,8488100000000
1960-03-01,8626800000000
1960-04-01,8732600000000
1960-05-01,8886300000000
1960-06-01,9016000000000
1960-07-01,9154300000000
1960-08-01,9321900000000
1960-09-01,9487800000000
1960-10-01,9652000000000
1960-11-01,9827900000000
1960-12-01,9979400000000
1961-01-01,10171700000000
1961-02-01,10400800000000
1961-03-01,10585000000000
1961-04-01,10787000000000
1961-05-01,10939900000000
1961-06-01,11136700000000
1961-07-01,11269200000000
1961-08-01,11416600000000
1961-09-01,11545500000000
1961-10-01,11686000000000
1961-11-01,11839000000000
1961-12-01,11917600000000
1962-01-01,12149000000000
1962-02-01,12283400000000
1962-03-01,12366400000000
1962-04-01,12628700000000
1962-05-01,12851200000000
1962-06-01,12982600000000
1962-07-01,13210300000000
1962-08-01,13427600000000
1962-09-01,13647100000000
1962-10-01,13921200000000
1962-11-01,14188400000000
1962-12-01,14453000000000
1963-01-01,14721000000000
1963-02-01,15000100000000
1963-03-01,15298500000000
1963-04-01,15577100000000
1963-05-01,15888600000000
