date,nav
2001-04-30,9.57
2001-05-31,8.82
2001-06-29,8.69
2001-07-31,8.17
2001-08-31,7.67
2001-09-28,6.32
2001-10-31,6.65
2001-11-30,7.69
2001-12-31,9.86
2002-01-31,10.47
2002-02-27,10.64
2002-03-29,10.62
2002-04-30,9.96
2002-05-31,9.12
2002-06-28,8.08
2002-07-31,7.94
2002-08-30,7.89
2002-09-30,7.05
2002-10-31,7.45
2002-11-29,7.25
2002-12-31,6.51
2003-01-28,6.84
2003-02-27,6.27
2003-03-31,6.20
2003-04-30,6.16
2003-05-30,6.65
2003-06-30,7.15
2003-07-31,8.12
2003-08-29,8.73
2003-09-30,8.65
2003-10-31,8.91
2003-11-28,8.66
2003-12-31,8.84
2004-01-30,9.76
2004-02-27,10.14
2004-03-31,9.89
2004-04-30,9.78
2004-05-31,9.21
2004-06-30,8.69
2004-07-30,8.03
2004-08-31,8.75
2004-09-30,8.55
2004-10-29,8.18
2004-11-30,8.40
2004-12-31,8.92
2005-01-31,8.89
2005-02-25,9.44
2005-03-31,9.62
2005-04-29,9.69
2005-05-31,10.38
2005-06-30,10.64
2005-07-29,11.06
2005-08-31,10.45
2005-09-30,11.28
2005-10-31,10.34
2005-11-30,11.86
2005-12-30,14.09
2006-01-25,13.51
2006-02-27,13.21
2006-03-31,14.00
2006-04-28,14.96
2006-05-30,14.30
2006-06-30,13.02
2006-07-31,12.90
2006-08-31,13.65
2006-09-29,13.85
2006-10-31,13.76
2006-11-30,14.63
2006-12-29,14.45
2007-01-31,14.83
2007-02-27,15.48
2007-03-30,15.58
2007-04-30,15.21
2007-05-31,16.46
2007-06-29,17.87
2007-07-31,20.66
2007-08-31,18.66
2007-09-29,19.69
2007-10-31,19.54
2007-11-30,16.82
2007-12-31,16.45
2008-01-31,12.95
2008-02-29,14.03
2008-03-31,13.76
2008-04-30,15.02
2008-05-30,14.56
2008-06-30,12.98
2008-07-31,12.55
2008-08-29,13.07
2008-09-30,10.83
2008-10-31,9.60
2008-11-28,8.57
2008-12-31,8.79
2009-01-21,8.53
2009-02-27,9.58
2009-03-31,10.47
2009-04-30,11.87
2009-05-27,14.11
2009-06-30,12.50
2009-07-31,14.38
2009-08-31,14.40
2009-09-30,15.95
2009-10-30,15.06
2009-11-30,16.06
2009-12-31,17.50
2010-01-29,15.31
2010-02-26,14.76
2010-03-31,16.49
2010-04-30,16.71
2010-05-31,15.71
2010-06-30,15.28
2010-07-30,16.65
2010-08-31,17.74
2010-09-30,18.77
2010-10-29,17.78
2010-11-30,18.89
2010-12-31,18.79
2011-01-28,19.19
2011-02-25,19.49
2011-03-31,19.22
2011-04-29,19.87
2011-05-31,20.11
2011-06-30,18.86
2011-07-29,20.14
2011-08-31,18.26
2011-09-30,16.73
2011-10-31,16.91
2011-11-30,15.23
2011-12-30,15.48
2012-01-31,17.10
2012-02-29,18.38
2012-03-30,17.91
2012-04-30,16.40
2012-05-31,16.28
2012-06-29,16.35
2012-07-31,16.12
2012-08-31,17.36
2012-09-28,17.44
2012-10-31,16.84
2012-11-30,17.79
2012-12-28,17.63
2013-01-31,17.74
2013-02-27,18.09
2013-03-29,18.26
2013-04-30,18.74
2013-05-31,19.18
2013-06-28,17.71
2013-07-31,17.64
2013-08-30,18.08
2013-09-30,17.81
2013-10-31,18.34
2013-11-29,18.62
2013-12-31,19.33
2014-01-27,19.54
2014-02-27,20.26
2014-03-31,21.06
2014-04-30,20.09
2014-05-30,21.00
2014-06-30,22.30
2014-07-31,20.89
2014-08-29,21.89
2014-09-30,20.38
2014-10-31,19.66
2014-11-28,20.81
2014-12-31,21.07
2015-01-30,20.96
2015-02-13,21.30
2015-03-31,22.11
2015-04-30,23.04
2015-05-29,23.68
2015-06-30,22.80
2015-07-31,20.69
2015-08-31,19.62
2015-09-30,20.50
2015-10-30,21.97
2015-11-30,22.55
2015-12-31,22.88
2016-01-30,23.49
2016-02-26,24.26
2016-03-31,25.51
2016-04-29,25.01
2016-05-31,26.01
2016-06-30,26.57
2016-07-29,28.09
2016-08-31,29.17
2016-09-30,29.41
2016-10-31,28.80
2016-11-30,28.16
2016-12-30,29.01
2017-01-24,29.98
2017-02-24,31.39
2017-03-31,31.90
2017-04-28,31.89
2017-05-31,31.97
2017-06-30,33.26
2017-07-31,35.13
2017-08-31,36.18
2017-09-29,37.81
2017-10-31,41.02
2017-11-30,41.68
2017-12-29,40.93
2018-01-31,43.34
2018-02-27,42.66
2018-03-31,45.69
2018-04-30,43.76
2018-05-31,47.98
2018-06-29,48.77
2018-07-31,49.03
2018-08-31,48.79
2018-09-28,44.37
2018-10-31,38.14
2018-11-30,41.56
2018-12-28,41.05
2019-01-30,43.45
2019-02-27,46.53
2019-03-29,48.23
2019-04-30,49.92
2019-05-31,46.68
2019-06-28,49.80
2019-07-31,53.55
2019-08-30,55.65
2019-09-27,55.34
2019-10-31,59.32
2019-11-29,60.83
2019-12-31,64.15
2020-01-31,62.10
2020-02-27,63.11
2020-03-31,50.54
2020-04-30,58.49
2020-05-29,62.19
2020-06-30,67.69
2020-07-31,76.24
2020-08-31,74.66
2020-09-30,73.68
2020-10-30,74.03
2020-11-30,81.65
