basis,exdiv,pay,amount
2024/07/30,2024/07/31,N/A,0.1806
2024/08/29,2024/08/30,N/A,0.7
2024/09/27,2024/09/30,N/A,0.7
2024/10/30,2024/10/31,N/A,0.7
2024/11/27,2024/11/29,N/A,0.7
2024/12/30,2024/12/31,N/A,0.8322
2025/01/30,2025/01/31,N/A,0.8322
2025/02/27,2025/02/28,N/A,0.8322
2025/03/28,2025/03/31,N/A,0.8322
2025/04/29,2025/04/30,N/A,0.8322
2025/05/28,2025/05/30,N/A,0.8322
2025/06/27,2025/06/30,N/A,0.8322
2025/07/30,2025/07/31,N/A,0.8322
2025/08/28,2025/08/29,N/A,0.8322
2025/09/29,2025/09/30,N/A,0.8322
2025/10/30,2025/10/31,N/A,0.8322
2025/11/26,2025/11/28,N/A,0.8322
2025/12/30,2025/12/31,N/A,0.8322
2026/01/29,2026/01/30,N/A,0.8322
2026/02/26,2026/02/27,N/A,0.8322
2026/03/30,2026/03/31,N/A,0.8322
2026/04/29,2026/04/30,N/A,0.8322
2026/05/28,2026/05/29,N/A,0.8322
