date,debit_balance
1997-01-31,103337
1997-02-28,103886
1997-03-31,104835
1997-04-30,102842
1997-05-31,111097
1997-06-30,118843
1997-07-31,121090
1997-08-31,124404
1997-09-30,131962
1997-10-31,134491
1997-11-30,132741
1997-12-31,131560
1998-01-31,132912
1998-02-28,141328
1998-03-31,146536
1998-04-30,146589
1998-05-31,150293
1998-06-30,154357
1998-07-31,160980
1998-08-31,155879
1998-09-30,144541
1998-10-31,138399
1998-11-30,148697
1998-12-31,148674
1999-01-31,162322
1999-02-28,162909
1999-03-31,166212
1999-04-30,184329
1999-05-31,189950
1999-06-30,187695
1999-07-31,189503
1999-08-31,187616
1999-09-30,189741
1999-10-31,194259
1999-11-30,218304
1999-12-31,241967
2000-01-31,260409
2000-02-29,284206
2000-03-31,299933
2000-04-30,268716
2000-05-31,256862
2000-06-30,264471
2000-07-31,263729
2000-08-31,265166
2000-09-30,270208
2000-10-31,250965
2000-11-30,237913
2000-12-31,210385
2001-01-31,208687
2001-02-28,198887
2001-03-31,174797
2001-04-30,176096
2001-05-31,183041
2001-06-30,179585
2001-07-31,173680
2001-08-31,169316
2001-09-30,157931
2001-10-31,152367
2001-11-30,159440
2001-12-31,160473
2002-01-31,160906
2002-02-28,154931
2002-03-31,160089
2002-04-30,159072
2002-05-31,157802
2002-06-30,153972
2002-07-31,143905
2002-08-31,139146
2002-09-30,136107
2002-10-31,138647
2002-11-30,139472
2002-12-31,139451
2003-01-31,141391
2003-02-28,140516
2003-03-31,144267
2003-04-30,143237
2003-05-31,153725
2003-06-30,168281
2003-07-31,174427
2003-08-31,167200
2003-09-30,171194
2003-10-31,175428
2003-11-30,182587
2003-12-31,181459
2004-01-31,189429
2004-02-29,190448
2004-03-31,191451
2004-04-30,198778
2004-05-31,193843
2004-06-30,193993
2004-07-31,187844
2004-08-31,187828
2004-09-30,193668
2004-10-31,197999
2004-11-30,211012
2004-12-31,217573
2005-01-31,220122
2005-02-28,223155
2005-03-31,226876
2005-04-30,217447
2005-05-31,219404
2005-06-30,224153
2005-07-31,233585
2005-08-31,231400
2005-09-30,244669
2005-10-31,239868
2005-11-30,242904
2005-12-31,244098
2006-01-31,255795
2006-02-28,249609
2006-03-31,259370
2006-04-30,265164
2006-05-31,255608
2006-06-30,251495
2006-07-31,256016
2006-08-31,249368
2006-09-30,261769
2006-10-31,267710
2006-11-30,294899
2006-12-31,303288
2007-01-31,311506
2007-02-28,321171
2007-03-31,317737
2007-04-30,342084
2007-05-31,382312
2007-06-30,408444
2007-07-31,416403
2007-08-31,362475
2007-09-30,359104
2007-10-31,376979
2007-11-30,379593
2007-12-31,355292
2008-01-31,365592
2008-02-29,377088
2008-03-31,349419
2008-04-30,332303
2008-05-31,341610
2008-06-30,346892
2008-07-31,343297
2008-08-31,324814
2008-09-30,345745
2008-10-31,277568
2008-11-30,227334
2008-12-31,210185
2009-01-31,205007
2009-02-28,199655
2009-03-31,203967
2009-04-30,208010
2009-05-31,214401
2009-06-30,217140
2009-07-31,228734
2009-08-31,236251
2009-09-30,254107
2009-10-31,265404
2009-11-30,250988
2009-12-31,262399
2010-01-31,266455
2010-02-28,263657
2010-03-31,277798
2010-04-30,295550
2010-05-31,268566
2010-06-30,263202
2010-07-31,267468
2010-08-31,268371
2010-09-30,288540
2010-10-31,303428
2010-11-30,309340
2010-12-31,313678
2011-01-31,326868
2011-02-28,348979
2011-03-31,355413
2011-04-30,360883
2011-05-31,355736
2011-06-30,345273
2011-07-31,344572
2011-08-31,308866
2011-09-30,298277
2011-10-31,317028
2011-11-30,303930
2011-12-31,301616
2012-01-31,309844
2012-02-29,323021
2012-03-31,330815
2012-04-30,335154
2012-05-31,315147
2012-06-30,320952
2012-07-31,313525
2012-08-31,320395
2012-09-30,339159
2012-10-31,342325
2012-11-30,351441
2012-12-31,355009
2013-01-31,388123
2013-02-28,390351
2013-03-31,403933
2013-04-30,408677
2013-05-31,401606
2013-06-30,407681
2013-07-31,412101
2013-08-31,414442
2013-09-30,432852
2013-10-31,445022
2013-11-30,456378
2013-12-31,478502
2014-01-31,487549
2014-02-28,502093
2014-03-31,487932
2014-04-30,475195
2014-05-31,475362
2014-06-30,502270
2014-07-31,498671
2014-08-31,501000
2014-09-30,503901
2014-10-31,492888
