date,nav
2024/06/18,76.5900
2024/06/20,76.8000
2024/06/21,76.6800
2024/06/24,76.8200
2024/06/25,76.7500
2024/06/26,76.6100
2024/06/27,76.6400
2024/06/28,76.7900
2024/07/02,76.4900
2024/07/03,76.7800
2024/07/05,77.1200
2024/07/08,77.3800
2024/07/09,76.6000
2024/07/10,76.7100
2024/07/11,77.2100
2024/07/12,77.2000
2024/07/15,77.2700
2024/07/16,77.3400
2024/07/17,77.4000
2024/07/18,77.5000
2024/07/19,77.0100
2024/07/22,77.0100
2024/07/23,77.0900
2024/07/24,76.7700
2024/07/25,76.4600
2024/07/26,76.6800
2024/07/29,76.9700
2024/07/30,76.9800
2024/07/31,77.1700
2024/08/01,77.5000
2024/08/02,76.6400
2024/08/05,75.3300
2024/08/06,75.7500
2024/08/07,76.3600
2024/08/08,75.3300
2024/08/09,75.6300
2024/08/12,75.7900
2024/08/13,76.1500
2024/08/14,76.4700
2024/08/15,76.7500
2024/08/16,77.0100
2024/08/19,77.2400
2024/08/20,77.5100
2024/08/21,77.5300
2024/08/22,77.6300
2024/08/23,77.5800
2024/08/26,77.8900
2024/08/27,77.6800
2024/08/28,77.7800
2024/08/29,77.7700
2024/08/30,77.9100
2024/09/03,77.7700
2024/09/04,77.4500
2024/09/05,77.6400
2024/09/09,77.3700
2024/09/10,76.8100
2024/09/11,76.6700
2024/09/12,77.0700
2024/09/13,77.4600
2024/09/16,77.6800
2024/09/17,77.8400
2024/09/19,78.0100
2024/09/20,77.9600
2024/09/23,78.0100
2024/09/24,78.1700
2024/09/25,78.2200
2024/09/26,78.4700
2024/09/27,78.6100
2024/09/30,78.4200
2024/10/02,78.3800
2024/10/03,78.2800
2024/10/04,78.2200
2024/10/07,78.1400
2024/10/08,77.7900
2024/10/09,77.1700
2024/10/10,77.2500
2024/10/14,77.5600
2024/10/15,77.7100
2024/10/16,77.6900
2024/10/17,77.7700
2024/10/18,77.8100
2024/10/21,77.7400
2024/10/22,77.3800
2024/10/23,77.2900
2024/10/24,77.1500
2024/10/25,77.2800
2024/10/28,77.1600
2024/10/29,77.0000
2024/10/30,76.9600
2024/10/31,76.4100
2024/11/01,76.6100
2024/11/04,76.6000
2024/11/05,76.5800
2024/11/06,76.7400
2024/11/07,77.2100
2024/11/08,76.7700
2024/11/12,76.5900
2024/11/13,76.3400
2024/11/14,76.3500
2024/11/15,76.0100
2024/11/18,75.9100
2024/11/19,75.9800
2024/11/20,76.0900
2024/11/21,76.2400
2024/11/22,76.5900
2024/11/25,76.9200
2024/11/26,76.8100
2024/11/27,76.8700
2024/11/28,76.9300
2024/11/29,77.0400
2024/12/02,77.2400
2024/12/03,77.2100
2024/12/04,77.2100
2024/12/05,77.3200
2024/12/06,77.4600
2024/12/09,77.4300
2024/12/10,76.4800
2024/12/11,76.5500
2024/12/12,76.4400
2024/12/13,76.2700
2024/12/16,76.2200
2024/12/17,75.9900
2024/12/18,75.9700
2024/12/19,75.0000
2024/12/20,74.6500
2024/12/23,74.9900
2024/12/27,75.3100
2024/12/30,74.9300
2025/01/02,75.3500
2025/01/03,75.2600
2025/01/06,75.5400
2025/01/07,75.6000
2025/01/08,74.3800
2025/01/09,74.6300
2025/01/10,74.1600
2025/01/13,73.7500
2025/01/14,73.9000
2025/01/15,74.5900
2025/01/16,74.7200
2025/01/17,75.1200
2025/01/21,75.3500
2025/01/22,75.5400
2025/01/23,75.4200
2025/01/24,75.5700
2025/01/27,75.4300
2025/01/28,75.5100
2025/02/03,75.1900
2025/02/04,75.4600
2025/02/05,75.7300
2025/02/06,76.0900
2025/02/07,76.0900
2025/02/10,75.3100
2025/02/11,75.1700
2025/02/12,74.9900
2025/02/13,75.2000
2025/02/14,75.4900
2025/02/18,75.5300
2025/02/19,75.5100
2025/02/20,75.5800
2025/02/21,75.7100
2025/02/24,75.4400
2025/02/25,75.4500
2025/02/26,75.5600
2025/02/27,75.5000
2025/02/28,75.2600
2025/03/03,75.5500
2025/03/04,74.8700
2025/03/05,74.7400
2025/03/06,74.4700
2025/03/07,74.5700
2025/03/10,73.7300
2025/03/11,73.1100
2025/03/12,72.9800
2025/03/13,72.9600
2025/03/14,73.1500
2025/03/17,73.4500
2025/03/18,73.4300
2025/03/19,73.5100
