序號,持有基金,轉入日,基準日,除息日,配息每單位(USD),持有單位數,配息(USD),配息(TWD),轉換日NAV,轉入下一基金,新基金NAV,新單位數
0,摩根多重收益,2024-07-24,2024-08-07,2024-08-08,0.7,413.5213,289.46,9118.0,75.33,安聯全球,11.8009,2639.6767
1,安聯全球,2024-08-08,2024-08-14,2024-08-16,0.07027,2639.6767,185.49,5843.0,12.2162,聯博美國成長,76.31,422.5766
2,聯博美國成長,2024-08-16,2024-08-29,2024-08-30,0.7,422.5766,295.8,9318.0,76.45,摩根多重收益,77.91,414.6577
3,摩根多重收益,2024-08-30,2024-09-09,2024-09-10,0.709,414.6577,293.99,9261.0,76.81,安聯全球,12.2587,2598.143
4,安聯全球,2024-09-10,2024-09-13,2024-09-16,0.07027,2598.143,182.57,5751.0,12.5132,聯博美國成長,76.71,423.8181
5,聯博美國成長,2024-09-16,2024-09-27,2024-09-30,0.7,423.8181,296.67,9345.0,77.23,摩根多重收益,78.42,417.3867
6,摩根多重收益,2024-09-30,2024-10-08,2024-10-09,0.713,417.3867,297.6,9374.0,77.17,安聯全球,12.3822,2601.2934
7,安聯全球,2024-10-09,2024-10-14,2024-10-15,0.07027,2601.2934,182.79,5758.0,12.4873,聯博美國成長,78.19,415.4384
8,聯博美國成長,2024-10-15,2024-10-30,2024-10-31,0.7,415.4384,290.81,9160.0,76.15,摩根多重收益,76.41,414.0248
9,摩根多重收益,2024-10-31,2024-11-07,2024-11-08,0.708,414.0248,293.13,9234.0,76.77,安聯全球,12.3212,2579.6745
10,安聯全球,2024-11-08,2024-11-14,2024-11-15,0.07027,2579.6745,181.27,5710.0,12.0923,聯博美國成長,78.14,399.2091
11,聯博美國成長,2024-11-15,2024-11-27,2024-11-29,0.7,399.2091,279.45,8803.0,79.69,摩根多重收益,77.04,412.941
12,摩根多重收益,2024-11-29,2024-12-09,2024-12-10,0.71,412.941,293.19,9235.0,76.48,安聯全球,12.2526,2577.553
13,安聯全球,2024-12-10,2024-12-13,2024-12-16,0.07027,2577.553,181.12,5705.0,12.031,聯博美國成長,82.28,376.8904
14,聯博美國成長,2024-12-16,2024-12-30,2024-12-31,0.8322,376.8904,313.65,9880.0,77.96,摩根多重收益,75.35,389.9452
15,摩根多重收益,2025-01-02,2025-01-07,2025-01-08,0.693,389.9452,270.23,8512.0,74.38,安聯全球,11.7075,2477.3971
16,安聯全球,2025-01-08,2025-01-14,2025-01-15,0.07027,2477.3971,174.09,5484.0,11.5269,聯博美國成長,79.18,360.6556
17,聯博美國成長,2025-01-15,2025-01-30,2025-01-31,0.8322,360.6556,300.14,9454.0,80.09,摩根多重收益,75.19,384.1589
18,摩根多重收益,2025-02-03,2025-02-07,2025-02-10,0.697,384.1589,267.76,8434.0,75.31,安聯全球,11.9896,2413.0083
19,安聯全球,2025-02-10,2025-02-14,2025-02-17,0.07027,2413.0083,169.56,5341.0,12.104,聯博美國成長,80.81,361.4287
20,聯博美國成長,2025-02-18,2025-02-27,2025-02-28,0.8322,361.4287,300.78,9475.0,75.66,摩根多重收益,75.26,363.3496
21,摩根多重收益,2025-02-28,2025-03-07,2025-03-10,0.684,363.3496,248.53,7829.0,73.73,安聯全球,11.7047,2288.8045
22,安聯全球,2025-03-10,2025-03-14,2025-03-17,0.07027,2288.8045,160.83,5066.0,11.5685,聯博美國成長,71.82,368.6722
23,聯博美國成長,2025-03-17,2025-03-28,2025-03-31,0.8322,368.6722,306.81,9664.0,68.9,摩根多重收益,72.92,348.3477
24,摩根多重收益,2025-03-31,2025-04-07,2025-04-08,0.636,348.3477,221.55,6979.0,69.7,安聯全球,10.4468,2324.1406
25,安聯全球,2025-04-08,2025-04-14,2025-04-15,0.07027,2324.1406,163.32,5144.0,11.0694,聯博美國成長,67.72,379.9002
26,聯博美國成長,2025-04-15,2025-04-29,2025-04-30,0.8322,379.9002,316.15,9959.0,69.25,摩根多重收益,71.77,366.5611
27,摩根多重收益,2025-04-30,2025-05-07,2025-05-08,0.666,366.5611,244.13,7690.0,72.09,安聯全球,11.5294,2292.0004
28,安聯全球,2025-05-08,2025-05-14,2025-05-15,0.07027,2292.0004,161.06,5073.0,11.6221,聯博美國成長,75.05,354.9348
29,聯博美國成長,2025-05-15,2025-05-28,2025-05-30,0.8322,354.9348,295.38,9304.0,74.24,摩根多重收益,73.2,359.9776
30,摩根多重收益,2025-05-30,2025-06-10,2025-06-11,0.677,359.9776,243.7,7677.0,73.32,安聯全球,12.0665,2187.3416
31,安聯全球,2025-06-11,2025-06-13,2025-06-16,0.07027,2187.3416,153.7,4842.0,11.9459,聯博美國成長,76.19,342.9553
32,聯博美國成長,2025-06-16,2025-06-27,2025-06-30,0.8322,342.9553,285.41,8990.0,78.01,摩根多重收益,74.2,360.5653
33,摩根多重收益,2025-06-30,2025-07-07,2025-07-08,0.683,360.5653,246.27,7757.0,73.67,安聯全球,12.1316,2189.5581
34,安聯全球,2025-07-08,2025-07-14,2025-07-15,0.07027,2189.5581,153.86,4847.0,12.1283,聯博美國成長,78.15,339.8032
35,聯博美國成長,2025-07-15,2025-07-30,2025-07-31,0.8322,339.8032,282.78,8908.0,78.23,摩根多重收益,74.6,356.3378
36,摩根多重收益,2025-07-31,2025-08-07,2025-08-08,0.685,356.3378,244.09,7689.0,73.94,安聯全球,12.042,2187.977
37,安聯全球,2025-08-08,2025-08-14,2025-08-18,0.07027,2187.977,153.75,4843.0,12.1375,聯博美國成長,79.54,333.8769
38,聯博美國成長,2025-08-18,2025-08-28,2025-08-29,0.8322,333.8769,277.85,8752.0,77.91,摩根多重收益,74.7,348.2243
39,摩根多重收益,2025-08-29,2025-09-08,2025-09-09,0.688,348.2243,239.58,7547.0,74.42,安聯全球,12.1894,2126.0151
40,安聯全球,2025-09-09,2025-09-12,2025-09-15,0.07027,2126.0151,149.4,4706.0,12.2766,聯博美國成長,80.1,325.8457
41,聯博美國成長,2025-09-15,2025-09-29,2025-09-30,0.8322,325.8457,271.17,8542.0,79.09,摩根多重收益,74.99,343.6609
42,摩根多重收益,2025-09-30,2025-10-09,2025-10-10,0.691,343.6609,237.47,7480.0,74.69,安聯全球,12.3746,2074.2517
43,安聯全球,2025-10-10,2025-10-14,2025-10-15,0.07027,2074.2517,145.76,4591.0,12.2722,聯博美國成長,78.81,323.0
44,聯博美國成長,2025-10-15,2025-10-30,2025-10-31,0.8322,323.0,268.8,8467.0,79.7,摩根多重收益,75.18,342.4195
45,摩根多重收益,2025-10-31,2025-11-07,2025-11-10,0.684,342.4195,234.21,7378.0,74.38,安聯全球,12.3256,2066.3632
46,安聯全球,2025-11-10,2025-11-14,2025-11-17,0.07027,2066.3632,145.2,4574.0,12.2496,聯博美國成長,77.19,327.9197
47,聯博美國成長,2025-11-17,2025-11-26,2025-11-28,0.8322,327.9197,272.89,8596.0,78.52,摩根多重收益,74.88,343.8602
48,摩根多重收益,2025-11-28,2025-12-08,2025-12-09,0.687,343.8602,236.23,7441.0,74.22,安聯全球,12.2885,2076.8448
49,安聯全球,2025-12-09,2025-12-12,2025-12-15,0.07027,2076.8448,145.94,4597.0,12.3158,聯博美國成長,76.53,334.2219
50,聯博美國成長,2025-12-15,2025-12-30,2025-12-31,0.8322,334.2219,278.14,8761.0,76.68,摩根多重收益,74.75,342.8514
51,摩根多重收益,2026-01-02,2026-01-07,2026-01-08,0.691,342.8514,236.91,7463.0,74.45,安聯全球,12.4136,2056.2354
52,安聯全球,2026-01-08,2026-01-14,2026-01-15,0.07027,2056.2354,144.49,4551.0,12.3776,聯博美國成長,77.14,329.9359
53,聯博美國成長,2026-01-15,2026-01-29,2026-01-30,0.8322,329.9359,274.57,8649.0,75.18,摩根多重收益,75.2,329.8482
54,摩根多重收益,2026-01-30,2026-02-09,2026-02-10,0.693,329.8482,228.58,7200.0,75.4,安聯全球,12.2389,2032.0906
55,安聯全球,2026-02-10,2026-02-13,2026-02-16,0.07027,2032.0906,142.8,4498.0,11.9037,聯博美國成長,72.31,334.5235
56,聯博美國成長,2026-02-17,2026-02-26,2026-02-27,0.8322,334.5235,278.39,8769.0,72.82,摩根多重收益,75.88,321.0333
57,摩根多重收益,2026-02-27,2026-03-09,2026-03-10,0.68,321.0333,218.3,6877.0,74.36,安聯全球,11.739,2033.5662
58,安聯全球,2026-03-10,2026-03-13,2026-03-16,0.07027,2033.5662,142.9,4501.0,11.3951,聯博美國成長,70.66,327.9464
59,聯博美國成長,2026-03-16,2026-03-30,2026-03-31,0.8322,327.9464,272.92,8597.0,66.89,摩根多重收益,72.5,302.5701
