basis,exdiv,pay,amount
2024/07/12,2024/07/15,2024/07/17,0.07027
2024/08/14,2024/08/16,2024/08/20,0.07027
2024/09/13,2024/09/16,2024/09/18,0.07027
2024/10/14,2024/10/15,2024/10/17,0.07027
2024/11/14,2024/11/15,2024/11/19,0.07027
2024/12/13,2024/12/16,2024/12/18,0.07027
2025/01/14,2025/01/15,2025/01/17,0.07027
2025/02/14,2025/02/17,2025/02/19,0.07027
2025/03/14,2025/03/17,2025/03/19,0.07027
2025/04/14,2025/04/15,2025/04/17,0.07027
2025/05/14,2025/05/15,2025/05/19,0.07027
2025/06/13,2025/06/16,2025/06/18,0.07027
2025/07/14,2025/07/15,2025/07/17,0.07027
2025/08/14,2025/08/18,2025/08/20,0.07027
2025/09/12,2025/09/15,2025/09/17,0.07027
2025/10/14,2025/10/15,2025/10/17,0.07027
2025/11/14,2025/11/17,2025/11/19,0.07027
2025/12/12,2025/12/15,2025/12/17,0.07027
2026/01/14,2026/01/15,2026/01/20,0.07027
2026/02/13,2026/02/16,2026/02/23,0.07027
2026/03/13,2026/03/16,2026/03/18,0.07027
2026/04/14,2026/04/15,2026/04/17,0.07027
2026/05/13,2026/05/15,2026/05/19,0.07027
2026/06/12,2026/06/15,2026/06/17,0.07027
