date,nav
2024/06/18,12.2312
2024/06/19,12.2756
2024/06/20,12.3284
2024/06/21,12.3185
2024/06/24,12.3356
2024/06/25,12.3377
2024/06/26,12.3579
2024/06/27,12.3151
2024/06/28,12.3292
2024/07/01,12.3287
2024/07/02,12.2825
2024/07/03,12.4060
2024/07/04,12.4660
2024/07/05,12.4867
2024/07/08,12.5019
2024/07/09,12.4938
2024/07/10,12.4537
2024/07/11,12.5652
2024/07/12,12.6030
2024/07/15,12.6110
2024/07/16,12.5640
2024/07/17,12.5429
2024/07/18,12.5208
2024/07/19,12.3813
2024/07/22,12.3078
2024/07/23,12.3562
2024/07/24,12.2486
2024/07/25,12.0727
2024/07/26,12.0824
2024/07/29,12.1953
2024/07/30,12.2102
2024/07/31,12.3308
2024/08/01,12.2340
2024/08/02,12.0686
2024/08/05,11.7332
2024/08/06,11.7728
2024/08/07,11.9137
2024/08/08,11.8009
2024/08/09,11.9758
2024/08/12,11.9671
2024/08/13,11.9756
2024/08/14,12.1432
2024/08/16,12.2162
2024/08/19,12.2488
2024/08/20,12.3675
2024/08/21,12.3800
2024/08/22,12.4637
2024/08/23,12.4117
2024/08/27,12.4528
2024/08/28,12.4678
2024/08/29,12.4326
2024/08/30,12.4708
2024/09/02,12.4991
2024/09/03,12.4829
2024/09/04,12.2906
2024/09/05,12.3376
2024/09/06,12.2797
2024/09/09,12.1764
2024/09/10,12.2587
2024/09/11,12.3149
2024/09/12,12.4214
2024/09/13,12.4829
2024/09/16,12.5132
2024/09/17,12.5250
2024/09/18,12.4796
2024/09/19,12.5811
2024/09/20,12.5852
2024/09/23,12.5282
2024/09/24,12.6301
2024/09/25,12.5910
2024/09/26,12.6624
2024/09/27,12.6737
2024/09/30,12.6604
2024/10/01,12.6261
2024/10/02,12.5590
2024/10/03,12.5105
2024/10/04,12.4538
2024/10/07,12.4432
2024/10/08,12.2677
2024/10/09,12.3822
2024/10/10,12.4137
2024/10/11,12.4260
2024/10/14,12.4830
2024/10/15,12.4873
2024/10/16,12.3269
2024/10/17,12.4042
2024/10/18,12.3634
2024/10/21,12.4057
2024/10/22,12.3021
2024/10/23,12.2707
2024/10/24,12.2609
2024/10/25,12.2064
2024/10/28,12.2072
2024/10/29,12.2694
2024/10/30,12.2319
2024/10/31,12.1345
2024/11/04,12.1590
2024/11/05,12.0898
2024/11/06,12.2721
2024/11/07,12.2499
2024/11/08,12.3212
2024/11/11,12.3461
2024/11/12,12.2979
2024/11/13,12.2231
2024/11/14,12.1852
2024/11/15,12.0923
2024/11/18,11.9391
2024/11/19,11.9539
2024/11/20,11.9823
2024/11/21,11.9480
2024/11/22,11.9944
2024/11/25,12.0993
2024/11/26,12.1406
2024/11/27,12.1541
2024/11/28,12.1849
2024/11/29,12.1702
2024/12/02,12.1815
2024/12/03,12.2709
2024/12/04,12.2431
2024/12/05,12.3393
2024/12/06,12.3016
2024/12/09,12.3027
2024/12/10,12.2526
2024/12/11,12.2049
2024/12/12,12.2870
2024/12/13,12.1632
2024/12/16,12.0310
2024/12/17,12.0474
2024/12/18,12.0244
2024/12/19,11.7363
2024/12/20,11.5126
2024/12/23,11.6842
2024/12/27,11.7876
2024/12/30,11.7300
2024/12/31,11.6446
2025/01/02,11.6146
2025/01/03,11.6071
2025/01/06,11.7399
2025/01/07,11.8148
2025/01/08,11.7075
2025/01/09,11.6943
2025/01/10,11.7158
2025/01/13,11.4216
2025/01/14,11.5598
2025/01/15,11.5269
2025/01/16,11.7366
2025/01/17,11.8126
2025/01/20,11.8547
2025/01/21,11.8714
2025/01/22,12.0467
2025/01/23,12.0581
2025/01/24,12.1579
2025/01/27,11.9653
2025/01/28,12.0344
2025/01/29,12.0782
2025/01/30,12.0597
2025/01/31,12.1413
2025/02/03,11.8963
2025/02/04,12.0018
2025/02/05,12.0772
2025/02/06,12.1210
2025/02/07,12.1293
2025/02/10,11.9896
2025/02/11,12.0517
2025/02/12,12.1023
2025/02/13,12.1114
2025/02/14,12.2103
2025/02/17,12.1040
2025/02/18,12.0791
2025/02/19,12.0647
2025/02/20,12.0516
2025/02/21,12.0288
2025/02/24,11.9137
2025/02/25,11.7984
2025/02/26,11.8673
2025/02/27,11.8551
2025/02/28,11.6764
2025/03/03,11.8460
2025/03/04,11.7463
2025/03/05,11.8757
2025/03/06,11.8128
2025/03/07,11.7420
2025/03/10,11.7047
2025/03/11,11.5919
2025/03/12,11.5282
2025/03/13,11.5807
2025/03/14,11.4914
2025/03/17,11.5685
2025/03/18,11.6753
2025/03/19,11.5998
2025/03/20,11.6302
2025/03/21,11.6086
2025/03/24,11.6187
2025/03/25,11.6510
2025/03/26,11.6473
2025/03/27,11.5410
2025/03/28,11.5063
2025/03/31,11.2656
2025/04/01,11.3593
2025/04/02,11.3478
2025/04/03,11.2781
2025/04/04,11.0304
2025/04/07,10.1269
2025/04/08,10.4468
2025/04/09,10.2869
2025/04/10,10.9178
2025/04/11,10.7992
2025/04/14,11.0940
2025/04/15,11.0694
2025/04/16,11.0443
2025/04/17,10.9792
2025/04/22,10.7660
2025/04/23,11.0116
2025/04/24,10.9991
2025/04/25,11.2162
2025/04/28,11.2635
2025/04/29,11.2563
2025/04/30,11.3329
2025/05/02,11.5094
2025/05/06,11.5621
2025/05/07,11.5045
2025/05/08,11.5294
2025/05/12,11.6538
2025/05/13,11.7186
2025/05/14,11.7632
2025/05/15,11.6221
2025/05/16,11.7330
2025/05/19,11.7025
2025/05/20,11.8246
2025/05/21,11.8233
2025/05/22,11.6523
2025/05/23,11.6838
2025/05/27,11.7681
2025/05/28,11.8215
2025/05/30,11.8065
2025/06/02,11.7952
2025/06/03,11.8005
2025/06/04,11.8542
2025/06/05,11.9039
2025/06/06,11.9073
2025/06/10,11.9949
2025/06/11,12.0665
2025/06/12,12.0511
2025/06/13,11.9828
2025/06/16,11.9459
2025/06/17,11.9380
2025/06/18,11.8409
2025/06/19,11.7478
2025/06/20,11.7662
2025/06/24,11.8992
2025/06/25,11.9550
2025/06/26,11.9766
2025/06/27,12.0899
2025/06/30,12.1120
2025/07/01,12.1217
2025/07/02,12.1456
2025/07/03,12.1899
2025/07/04,12.2004
2025/07/07,12.1448
2025/07/08,12.1316
2025/07/09,12.1305
2025/07/10,12.2195
2025/07/11,12.1622
2025/07/14,12.0953
2025/07/15,12.1283
2025/07/16,12.0018
2025/07/17,12.0384
2025/07/18,12.1297
2025/07/21,12.1306
2025/07/22,12.1397
2025/07/23,12.3172
2025/07/24,12.3916
2025/07/25,12.3533
2025/07/28,12.4078
2025/07/29,12.3453
2025/07/30,12.3091
2025/07/31,12.2493
2025/08/01,11.9937
2025/08/04,11.9498
2025/08/05,12.0841
2025/08/06,11.9952
2025/08/07,12.1228
2025/08/08,12.0420
2025/08/11,12.0631
2025/08/12,12.0254
2025/08/13,12.1400
2025/08/14,12.1712
2025/08/18,12.1375
2025/08/19,12.1345
2025/08/20,12.0998
2025/08/21,12.0447
2025/08/22,11.9979
2025/08/26,12.0509
2025/08/27,12.0582
2025/08/28,12.0887
2025/08/29,12.0922
2025/09/01,12.0911
2025/09/02,12.0438
2025/09/03,11.9644
2025/09/04,12.0082
2025/09/05,12.0868
2025/09/08,12.1275
2025/09/09,12.1894
2025/09/10,12.2049
2025/09/11,12.1843
2025/09/12,12.3062
2025/09/15,12.2766
2025/09/16,12.2544
2025/09/17,12.2206
2025/09/18,12.2514
2025/09/19,12.1809
2025/09/22,12.1845
2025/09/23,12.2396
2025/09/24,12.1612
2025/09/25,12.1066
2025/09/26,12.0460
2025/09/29,12.1711
2025/09/30,12.1665
2025/10/01,12.2404
2025/10/02,12.3591
2025/10/03,12.4202
2025/10/06,12.4243
2025/10/07,12.4633
2025/10/08,12.3839
2025/10/09,12.4344
2025/10/10,12.3746
2025/10/13,12.2703
2025/10/14,12.1648
2025/10/15,12.2722
2025/10/16,12.2582
2025/10/17,12.0867
2025/10/20,12.2562
2025/10/21,12.3357
2025/10/22,12.3197
2025/10/23,12.3294
2025/10/24,12.3852
2025/10/27,12.5741
2025/10/28,12.5746
2025/10/29,12.5595
2025/10/30,12.4758
2025/10/31,12.4437
2025/11/03,12.4531
2025/11/04,12.3200
2025/11/05,12.3230
2025/11/06,12.3565
2025/11/07,12.2230
2025/11/10,12.3256
2025/11/11,12.3914
2025/11/12,12.4849
2025/11/13,12.5344
2025/11/14,12.3289
2025/11/17,12.2496
2025/11/18,12.1129
2025/11/19,12.0058
2025/11/20,12.1212
2025/11/21,11.9227
2025/11/24,12.0518
2025/11/25,12.1497
2025/11/26,12.3034
2025/11/27,12.3413
2025/11/28,12.3421
2025/12/01,12.3862
2025/12/02,12.3281
2025/12/03,12.3065
2025/12/04,12.3718
2025/12/05,12.3416
2025/12/08,12.3389
2025/12/09,12.2885
2025/12/10,12.2442
2025/12/11,12.2850
2025/12/12,12.4038
2025/12/15,12.3158
2025/12/16,12.1978
2025/12/17,12.1949
2025/12/18,12.1094
2025/12/19,12.1723
2025/12/22,12.2318
2025/12/23,12.3297
2025/12/29,12.3853
2025/12/30,12.3664
2025/12/31,12.3394
2026/01/02,12.3818
2026/01/05,12.3618
2026/01/06,12.4353
2026/01/07,12.5066
