date,nav
2024/07/24,497.29
2024/07/25,494.78
2024/07/26,500.33
2024/07/29,500.70
2024/07/30,498.08
2024/07/31,505.93
2024/08/01,499.03
2024/08/02,489.91
2024/08/05,475.20
2024/08/06,479.94
2024/08/07,476.61
2024/08/08,487.73
2024/08/09,489.82
2024/08/12,490.07
2024/08/13,498.21
2024/08/14,499.80
2024/08/15,508.38
2024/08/16,509.45
2024/08/19,514.35
2024/08/20,513.50
2024/08/21,515.30
2024/08/22,511.13
2024/08/23,516.66
2024/08/26,515.39
2024/08/27,516.08
2024/08/28,513.13
2024/08/29,513.21
2024/08/30,518.04
2024/09/03,507.56
2024/09/04,506.30
2024/09/05,505.05
2024/09/06,496.64
2024/09/09,502.23
2024/09/10,504.30
2024/09/11,509.46
2024/09/12,513.84
2024/09/13,516.57
2024/09/16,517.35
2024/09/17,517.59
2024/09/18,515.91
2024/09/19,524.91
2024/09/20,523.88
2024/09/23,525.17
2024/09/24,526.68
2024/09/25,525.61
2024/09/26,527.70
2024/09/27,525.38
2024/09/30,527.67
2024/10/01,522.74
2024/10/02,522.83
2024/10/03,521.84
2024/10/04,526.65
2024/10/07,521.91
2024/10/08,526.85
2024/10/09,530.45
2024/10/10,529.56
2024/10/11,532.71
2024/10/14,537.07
2024/10/15,532.98
2024/10/16,535.22
2024/10/17,535.30
2024/10/18,537.36
2024/10/21,536.53
2024/10/22,536.16
2024/10/23,531.27
2024/10/24,532.47
2024/10/25,532.26
2024/10/28,533.92
2024/10/29,534.77
2024/10/30,533.16
2024/10/31,522.67
2024/11/01,524.94
2024/11/04,523.80
2024/11/05,530.10
2024/11/06,543.30
2024/11/07,547.53
2024/11/08,549.95
2024/11/11,550.40
2024/11/12,548.75
2024/11/13,549.03
2024/11/14,545.54
2024/11/15,538.50
2024/11/18,540.73
2024/11/19,542.70
2024/11/20,542.90
2024/11/21,545.64
2024/11/22,547.47
2024/11/25,549.23
2024/11/26,552.31
2024/11/27,550.55
2024/11/29,553.45
2024/12/02,555.01
2024/12/03,555.14
2024/12/04,558.64
2024/12/05,557.71
2024/12/06,558.82
2024/12/09,555.91
2024/12/10,554.33
2024/12/11,558.53
2024/12/12,555.65
2024/12/13,555.61
2024/12/16,557.79
2024/12/17,555.45
2024/12/18,539.14
2024/12/19,538.94
2024/12/20,545.04
2024/12/23,547.19
2024/12/24,552.82
2024/12/26,552.81
2024/12/27,547.08
2024/12/30,540.99
2024/12/31,538.81
2025/01/02,537.46
2025/01/03,544.40
2025/01/06,547.57
2025/01/07,541.41
2025/01/08,542.14
2025/01/10,533.89
2025/01/13,534.58
2025/01/14,535.26
2025/01/15,545.05
2025/01/16,544.24
2025/01/17,549.46
2025/01/21,554.46
2025/01/22,557.61
2025/01/23,560.70
2025/01/24,559.01
2025/01/27,551.23
2025/01/28,555.85
2025/01/29,553.41
2025/01/30,556.30
2025/01/31,553.33
2025/02/03,549.70
2025/02/04,553.35
2025/02/05,555.62
2025/02/06,557.62
2025/02/07,552.20
2025/02/10,556.15
2025/02/11,556.65
2025/02/12,554.81
2025/02/13,560.67
2025/02/14,560.69
2025/02/18,562.31
2025/02/19,563.67
2025/02/20,561.30
2025/02/21,551.75
2025/02/24,549.14
2025/02/25,546.41
2025/02/26,546.75
2025/02/27,537.97
2025/02/28,546.33
2025/03/03,536.92
2025/03/04,530.45
2025/03/05,536.40
2025/03/06,526.67
2025/03/07,529.51
2025/03/10,515.51
2025/03/11,511.28
2025/03/12,513.76
2025/03/13,507.05
2025/03/14,517.46
2025/03/17,521.41
2025/03/18,515.91
2025/03/19,521.33
2025/03/20,520.13
2025/03/21,520.26
2025/03/24,529.39
2025/03/25,530.65
2025/03/26,524.46
2025/03/27,521.21
2025/03/28,510.80
2025/03/31,513.91
2025/04/01,515.80
2025/04/02,518.91
2025/04/03,494.16
2025/04/04,465.52
2025/04/07,463.56
2025/04/08,456.74
2025/04/09,499.10
2025/04/10,482.06
2025/04/11,490.55
2025/04/14,495.48
2025/04/15,494.09
2025/04/16,483.23
2025/04/17,483.90
2025/04/21,472.37
2025/04/22,484.29
2025/04/23,492.07
2025/04/24,502.41
2025/04/25,506.11
2025/04/28,506.42
2025/04/29,509.49
2025/04/30,509.74
2025/05/01,513.35
2025/05/02,520.71
2025/05/05,517.99
2025/05/06,513.58
2025/05/07,515.90
2025/05/08,519.34
2025/05/09,518.65
2025/05/12,535.92
2025/05/13,539.44
2025/05/14,540.11
2025/05/15,542.76
2025/05/16,546.26
2025/05/19,546.82
2025/05/20,544.88
2025/05/21,535.77
2025/05/22,536.02
2025/05/23,532.40
2025/05/27,543.34
2025/05/28,540.24
2025/05/29,542.32
2025/05/30,541.76
2025/06/02,544.91
2025/06/03,548.00
2025/06/04,547.65
2025/06/05,545.09
2025/06/06,550.66
2025/06/09,551.25
2025/06/10,554.39
2025/06/11,552.86
2025/06/12,554.95
2025/06/13,548.77
2025/06/16,554.07
2025/06/17,549.35
2025/06/18,549.24
2025/06/20,547.72
2025/06/23,553.36
2025/06/24,559.44
2025/06/25,559.72
2025/06/26,564.15
2025/06/27,566.95
2025/06/30,568.03
2025/07/01,567.77
2025/07/02,570.29
2025/07/03,575.22
2025/07/07,570.61
2025/07/08,570.23
2025/07/09,573.61
2025/07/10,575.29
2025/07/11,573.22
2025/07/14,574.35
2025/07/15,571.86
2025/07/16,573.74
2025/07/17,577.18
2025/07/18,576.92
2025/07/21,577.95
2025/07/22,577.95
2025/07/23,582.86
2025/07/24,583.26
2025/07/25,585.58
2025/07/28,585.44
2025/07/29,583.92
2025/07/30,583.21
2025/07/31,581.02
2025/08/01,571.45
2025/08/04,580.14
2025/08/05,577.35
2025/08/06,581.64
2025/08/07,581.29
2025/08/08,585.74
2025/08/11,584.54
2025/08/12,590.78
2025/08/13,592.84
2025/08/14,592.85
2025/08/15,591.57
2025/08/18,591.36
2025/08/19,588.13
2025/08/20,586.58
2025/08/21,584.27
2025/08/22,593.21
2025/08/25,590.70
2025/08/26,593.06
2025/08/27,594.42
2025/08/28,596.52
2025/08/29,593.08
2025/09/02,588.71
2025/09/03,591.72
2025/09/04,596.59
2025/09/05,594.96
2025/09/08,596.50
2025/09/09,597.95
2025/09/10,599.68
2025/09/11,604.57
2025/09/12,604.44
2025/09/15,607.59
2025/09/16,606.79
2025/09/17,606.09
2025/09/18,608.94
2025/09/19,611.78
2025/09/22,614.76
2025/09/23,611.54
2025/09/24,609.50
2025/09/25,606.59
2025/09/26,610.16
2025/09/29,610.13
2025/09/30,612.38
2025/10/01,614.57
2025/10/02,615.25
2025/10/03,615.30
2025/10/06,617.40
2025/10/07,615.20
2025/10/08,618.77
2025/10/09,617.10
2025/10/10,600.51
2025/10/13,609.61
2025/10/14,608.75
2025/10/15,611.43
2025/10/16,607.39
2025/10/17,610.76
2025/10/20,617.17
2025/10/21,617.09
2025/10/22,613.97
2025/10/23,617.44
2025/10/24,622.55
2025/10/27,630.00
2025/10/28,631.69
2025/10/29,631.95
2025/10/30,625.24
2025/10/31,627.04
2025/11/03,628.27
2025/11/04,620.99
2025/11/05,622.86
2025/11/06,616.24
2025/11/07,616.89
2025/11/10,626.47
2025/11/11,627.91
2025/11/12,628.22
2025/11/13,617.99
2025/11/14,617.83
2025/11/17,612.04
2025/11/18,607.00
2025/11/19,609.20
2025/11/20,599.96
2025/11/21,605.93
2025/11/24,614.94
2025/11/25,620.66
2025/11/26,624.95
2025/11/28,628.41
2025/12/01,625.52
2025/12/02,626.58
2025/12/03,628.77
2025/12/04,629.30
2025/12/05,630.48
2025/12/08,628.61
2025/12/09,628.10
2025/12/10,632.16
2025/12/11,633.71
2025/12/12,626.87
2025/12/15,625.96
2025/12/16,624.21
2025/12/17,617.35
2025/12/18,622.01
2025/12/19,627.56
2025/12/22,629.73
2025/12/23,632.67
2025/12/24,634.78
2025/12/26,634.84
2025/12/29,632.60
2025/12/30,631.72
2025/12/31,627.13
2026/01/02,628.30
2026/01/05,632.46
2026/01/06,636.21
2026/01/07,634.17
2026/01/08,634.06
2026/01/09,638.31
2026/01/12,639.34
2026/01/13,638.03
2026/01/14,634.94
2026/01/15,636.62
2026/01/16,636.09
2026/01/20,623.15
2026/01/21,630.29
2026/01/22,633.57
2026/01/23,633.83
2026/01/26,637.09
2026/01/27,639.70
2026/01/28,639.60
2026/01/29,638.27
2026/01/30,636.22
2026/02/02,639.68
2026/02/03,634.15
2026/02/04,630.91
2026/02/05,623.10
2026/02/06,635.24
2026/02/09,638.23
2026/02/10,636.44
2026/02/11,636.35
2026/02/12,626.49
2026/02/13,626.89
2026/02/17,627.99
2026/02/18,631.15
2026/02/19,629.53
2026/02/20,634.02
2026/02/23,627.63
2026/02/24,632.21
2026/02/25,637.53
2026/02/26,633.95
2026/02/27,631.04
2026/03/02,631.28
2026/03/03,625.72
2026/03/04,630.18
2026/03/05,626.81
2026/03/06,618.43
2026/03/09,623.80
2026/03/10,622.72
2026/03/11,622.03
2026/03/12,612.50
2026/03/13,609.09
2026/03/16,615.19
2026/03/17,616.89
2026/03/18,608.38
2026/03/19,606.75
2026/03/20,597.94
2026/03/23,604.43
2026/03/24,602.38
2026/03/25,605.66
2026/03/26,594.92
2026/03/27,582.96
2026/03/30,580.93
2026/03/31,597.55
2026/04/01,602.30
2026/04/02,602.99
2026/04/06,605.67
2026/04/07,606.04
2026/04/08,621.34
2026/04/09,625.02
2026/04/10,624.60
2026/04/13,630.72
2026/04/14,638.35
2026/04/15,643.45
2026/04/16,644.86
2026/04/17,652.78
2026/04/20,651.54
2026/04/21,647.25
2026/04/22,653.90
2026/04/23,651.26
2026/04/24,656.42
2026/04/27,657.50
2026/04/28,654.26
2026/04/29,654.24
2026/04/30,660.58
2026/05/01,662.52
2026/05/04,660.12
2026/05/05,665.30
2026/05/06,674.66
2026/05/07,672.54
2026/05/08,678.04
2026/05/11,679.52
2026/05/12,678.67
2026/05/13,682.41
2026/05/14,687.73
2026/05/15,679.44
2026/05/18,678.91
2026/05/19,674.59
2026/05/20,681.57
2026/05/21,682.84
2026/05/22,685.55
2026/05/26,690.01
2026/05/27,689.96
2026/05/28,693.91
2026/05/29,695.49
2026/06/01,697.30
2026/06/02,698.26
2026/06/03,693.36
2026/06/04,696.06
2026/06/05,678.00
2026/06/08,679.68
2026/06/09,677.70
2026/06/10,667.05
2026/06/11,678.23
2026/06/12,681.95
2026/06/15,693.83
2026/06/16,689.75
2026/06/17,681.41
