date,nav
2010/09/09,101.32
2010/09/10,101.78
2010/09/13,103.06
2010/09/14,103.04
2010/09/15,103.30
2010/09/16,103.26
2010/09/17,103.36
2010/09/20,105.04
2010/09/21,104.72
2010/09/22,104.16
2010/09/23,103.30
2010/09/24,104.84
2010/09/27,104.34
2010/09/28,105.02
2010/09/29,104.52
2010/09/30,104.36
2010/10/01,104.72
2010/10/04,103.84
2010/10/05,106.12
2010/10/06,105.94
2010/10/07,105.88
2010/10/08,106.68
2010/10/11,106.50
2010/10/12,107.12
2010/10/13,107.76
2010/10/14,107.36
2010/10/15,107.56
2010/10/18,108.34
2010/10/19,106.62
2010/10/20,107.76
2010/10/21,107.92
2010/10/22,108.18
2010/10/25,108.50
2010/10/26,108.48
2010/10/27,108.14
2010/10/28,108.22
2010/10/29,108.30
2010/11/01,108.36
2010/11/02,109.20
2010/11/03,109.66
2010/11/04,111.72
2010/11/05,112.16
2010/11/08,112.02
2010/11/09,111.14
2010/11/10,111.56
2010/11/11,111.20
2010/11/12,109.82
2010/11/15,109.72
2010/11/16,107.96
2010/11/17,108.04
2010/11/18,109.64
2010/11/19,109.90
2010/11/22,109.80
2010/11/23,108.26
2010/11/24,109.66
2010/11/26,109.04
2010/11/29,108.94
2010/11/30,108.18
2010/12/01,110.62
2010/12/02,112.06
2010/12/03,112.34
2010/12/06,112.20
2010/12/07,112.24
2010/12/08,112.70
2010/12/09,113.12
2010/12/10,113.80
2010/12/13,113.86
2010/12/14,113.92
2010/12/15,113.42
2010/12/16,114.08
2010/12/17,114.24
2010/12/20,114.48
2010/12/21,115.18
2010/12/22,115.60
2010/12/23,115.42
2010/12/27,114.98
2010/12/28,115.10
2010/12/29,115.20
2010/12/30,115.02
2010/12/31,115.14
2011/01/03,116.22
2011/01/04,116.12
2011/01/05,116.74
2011/01/06,116.54
2011/01/07,116.30
2011/01/10,116.20
2011/01/11,116.58
2011/01/12,117.62
2011/01/13,117.46
2011/01/14,118.30
2011/01/18,118.50
2011/01/19,117.32
2011/01/20,117.18
2011/01/21,117.44
2011/01/24,118.16
2011/01/25,118.12
2011/01/26,118.74
2011/01/27,118.90
2011/01/28,116.80
2011/01/31,117.70
2011/02/01,119.54
2011/02/02,119.34
2011/02/03,119.64
2011/02/04,119.96
2011/02/07,120.72
2011/02/08,121.28
2011/02/09,120.98
2011/02/10,121.02
2011/02/11,121.78
2011/02/14,122.08
2011/02/15,121.64
2011/02/16,122.42
2011/02/17,122.88
2011/02/18,123.08
2011/02/22,120.56
2011/02/23,119.88
2011/02/24,119.76
2011/02/25,121.06
2011/02/28,121.78
2011/03/01,119.70
2011/03/02,120.04
2011/03/03,122.10
2011/03/04,121.20
2011/03/07,120.14
2011/03/08,121.26
2011/03/09,121.12
2011/03/10,118.90
2011/03/11,119.70
2011/03/14,119.00
2011/03/15,117.68
2011/03/16,115.44
2011/03/17,116.88
2011/03/18,117.38
2011/03/21,119.16
2011/03/22,118.74
2011/03/23,119.12
2011/03/24,120.24
2011/03/25,120.06
2011/03/28,119.80
2011/03/29,120.58
2011/03/30,121.40
2011/03/31,121.24
2011/04/01,121.80
2011/04/04,121.86
2011/04/05,121.86
2011/04/06,122.22
2011/04/07,122.00
2011/04/08,121.54
2011/04/11,121.12
2011/04/12,120.24
2011/04/13,120.28
2011/04/14,120.30
2011/04/15,120.72
2011/04/18,119.40
2011/04/19,120.14
2011/04/20,121.76
2011/04/21,122.30
2011/04/25,122.18
2011/04/26,123.24
2011/04/27,124.04
2011/04/28,124.44
2011/04/29,124.80
2011/05/02,124.52
2011/05/03,124.12
2011/05/04,123.28
2011/05/05,122.20
2011/05/06,122.78
2011/05/09,123.28
2011/05/10,124.30
2011/05/11,122.98
2011/05/12,123.64
2011/05/13,122.56
2011/05/16,121.80
2011/05/17,121.78
2011/05/18,122.92
2011/05/19,123.08
2011/05/20,122.26
2011/05/23,120.80
2011/05/24,120.70
2011/05/25,121.10
2011/05/26,121.58
2011/05/27,122.12
2011/05/31,123.34
2011/06/01,120.60
2011/06/02,120.46
2011/06/03,119.30
2011/06/06,118.04
2011/06/07,117.88
2011/06/08,117.40
2011/06/09,118.30
2011/06/10,116.64
2011/06/13,116.72
2011/06/14,118.22
2011/06/15,116.16
2011/06/16,116.38
2011/06/17,116.70
2011/06/20,117.36
2011/06/21,118.96
2011/06/22,118.26
2011/06/23,117.86
2011/06/24,116.00
2011/06/27,116.98
2011/06/28,118.48
2011/06/29,119.54
2011/06/30,120.68
2011/07/01,122.50
2011/07/05,122.30
2011/07/06,122.48
2011/07/07,123.82
2011/07/08,122.98
2011/07/11,120.70
2011/07/12,120.16
2011/07/13,120.58
2011/07/14,119.80
2011/07/15,120.46
2011/07/18,119.44
2011/07/19,121.38
2011/07/20,121.38
2011/07/21,123.00
2011/07/22,123.10
2011/07/25,122.40
2011/07/26,121.88
2011/07/27,119.46
2011/07/28,119.12
2011/07/29,118.20
2011/08/01,117.78
2011/08/02,114.84
2011/08/03,115.42
2011/08/04,110.02
2011/08/05,109.78
2011/08/08,102.74
2011/08/09,107.34
2011/08/10,102.68
2011/08/11,107.18
2011/08/12,108.04
2011/08/15,110.26
2011/08/16,109.32
2011/08/17,109.44
2011/08/18,104.90
2011/08/19,102.90
2011/08/22,102.98
2011/08/23,106.54
2011/08/24,108.00
2011/08/25,106.38
2011/08/26,107.78
2011/08/29,110.92
2011/08/30,111.12
2011/08/31,111.68
2011/09/01,110.60
2011/09/02,107.74
2011/09/06,107.00
2011/09/07,110.02
2011/09/08,108.86
2011/09/09,106.00
2011/09/12,106.76
2011/09/13,107.64
2011/09/14,109.16
2011/09/15,111.04
2011/09/16,111.70
2011/09/19,110.66
2011/09/20,110.48
2011/09/21,107.14
2011/09/22,103.78
2011/09/23,103.68
2011/09/26,106.20
2011/09/27,107.42
2011/09/28,105.28
2011/09/29,106.04
2011/09/30,103.52
2011/10/03,100.34
2011/10/04,102.54
2011/10/05,104.58
2011/10/06,106.60
2011/10/07,105.78
2011/10/10,109.36
2011/10/11,109.32
2011/10/12,110.32
2011/10/13,110.16
2011/10/14,111.98
2011/10/17,109.88
2011/10/18,112.08
2011/10/19,110.68
2011/10/20,111.18
2011/10/21,113.32
2011/10/24,114.76
2011/10/25,112.54
2011/10/26,113.62
2011/10/27,117.54
2011/10/28,117.66
2011/10/31,114.64
2011/11/01,111.60
2011/11/02,113.36
2011/11/03,115.46
2011/11/04,114.80
2011/11/07,115.46
2011/11/08,116.84
2011/11/09,112.62
2011/11/10,113.64
2011/11/11,115.86
2011/11/14,114.74
2011/11/15,115.34
2011/11/16,113.48
2011/11/17,111.66
2011/11/18,111.50
2011/11/21,109.50
2011/11/22,108.92
2011/11/23,106.62
2011/11/25,106.30
2011/11/28,109.48
2011/11/29,109.80
2011/11/30,114.30
2011/12/01,114.22
2011/12/02,114.16
2011/12/05,115.40
2011/12/06,115.50
2011/12/07,115.88
2011/12/08,113.38
2011/12/09,115.30
2011/12/12,113.64
2011/12/13,112.56
2011/12/14,111.30
2011/12/15,111.72
2011/12/16,111.80
2011/12/19,110.66
2011/12/20,113.96
2011/12/21,114.30
2011/12/22,115.38
2011/12/23,115.60
2011/12/27,115.72
2011/12/28,114.30
2011/12/29,115.34
2011/12/30,114.90
2012/01/03,116.60
2012/01/04,116.80
2012/01/05,117.18
2012/01/06,116.94
2012/01/09,117.12
2012/01/10,118.12
2012/01/11,118.24
2012/01/12,118.50
2012/01/13,118.00
2012/01/17,118.32
2012/01/18,119.64
2012/01/19,120.28
2012/01/20,120.28
2012/01/23,120.40
2012/01/24,120.22
2012/01/25,121.28
2012/01/26,120.66
2012/01/27,120.50
2012/01/30,120.10
2012/01/31,120.04
2012/02/01,121.18
2012/02/02,121.42
2012/02/03,123.14
2012/02/06,122.96
2012/02/07,123.34
2012/02/08,123.60
2012/02/09,123.74
2012/02/10,122.90
2012/02/13,123.84
2012/02/14,123.66
2012/02/15,123.12
2012/02/16,124.46
2012/02/17,124.76
2012/02/21,124.84
2012/02/22,124.42
2012/02/23,125.02
2012/02/24,125.20
2012/02/27,125.42
2012/02/28,125.86
2012/02/29,125.18
2012/03/01,126.00
2012/03/02,125.66
2012/03/05,125.12
2012/03/06,123.16
2012/03/07,124.14
2012/03/08,125.34
2012/03/09,125.82
2012/03/12,125.88
